text,label
"here are the slides with data from 10 / 19 / 01 . i will send the slide on financial power and options shortly . please let me know if you need anything else or this modified .
- - - - - original message - - - - -
from : moorer , torrey
sent : monday , october 22 , 2001 4 : 44 pm
to : puthigai , savita
cc : denny , jennifer
subject : re :
hi savita ,
here ' s the powerpoint end . working with excel sheets now .
- - - - - original message - - - - -
from : puthigai , savita
sent : monday , october 22 , 2001 4 : 27 pm
to : moorer , torrey
subject : fw :
- - - - - original message - - - - -
from : kitchen , louise
sent : monday , october 22 , 2001 4 : 23 pm
to : puthigai , savita
subject :
>",ham
"hello , vince .
we still have the 2 other bonds in our inventory . are you interested ?
david c . walkup
financial consultant
713 - 658 - 1685
800 - 456 - 9712
caution : electronic mail sent through the internet is not secure and could
be intercepted by a third party . for your protection , avoid sending
identifying information , such as account , social security or card numbers to
us or others . further , do not send time - sensitive , action - oriented
messages , such as transaction orders , fund transfer instructions , or check
stop payments , as it is our policy not to accept such items electronicall",ham
- wassupsouthparkl . exe,ham
"to ensure delivery to your inbox ( not bulk or junk folders ) , please add news @ real - email . net to your address book .
only
$ 12 . 95 per month after your free trial .
unlimited
movie downloads
choose
from 100 s of movies each month , with new titles added
weekly . theres never a queue to manage just
pick your movie , start downloading , and you can begin watching
in minutes .
no hidden charges , no late fees , nothing to mail back .
watch at home or on the go , as often as you want .
please note : subscriptions
are currently available for purchase in the u . s . only . a
300 kbps broadband connection is required .
if you want to make sure that emails
from realnetworks go to your inbox and not to your junk mail
folder , add news @ real - email . net to
your address book .
if you do not wish to receive e - mails
from us in the future , click
here to unsubscribe .
have questions regarding our email privacy policy ?
contact us at :
email privacy policy group
realnetworks , inc .
p . o . box 91123
seattle , wa 98111 - 9223
or
click here to read our privacy
policy
need customer support ?
contact us at :
http : / / service . real . com
2005
realnetworks , inc . patents pending . all rights reserved .
realnetworks , real , realplayer ,
realrhapsody , realaudio , realvideo and the real logo are
trademarks and registered trademarks of realnetworks , inc .
all other trademarks are property of their respective owners .
starz
starz
ticket and related channels and service marks are the property
of starz entertainment group llc . all
other trademarks are the property of their respective owners .
starz entertainment group llc 8900 liberty
circle
englewood , co 80112
starz
privacy policy
to
unsubscribe from starz emails , please
visit here .
",spam
"dear ms . feldman ,
please receive all my apologies for not having
answered earlier your 2 emails , but i was in the
states for 6 weeks and could not access my
dauphine email . in any case , the time was
fruitfully used by my associates and myself to
improve the "" robustness "" of the product , from
a computer and mathematical standpoint .
regarding your 3 points
1 . we agree on the price of 90 , 000 usd
2 . d - g will provide system support : we can do so
by emailing anther version of the software , being
available on the phone and by email but we
cannot promise unlimited support of all kinds
without risking bankruptcy right away .
moreover , the $ 90 , 000 may be paid in 3 fractions
and your risk would be quite minimal
3 . regarding the escrow , we have been using so
far a small law firm with 5 partners ( none of my
family ) in amherst : hart , reed , brown , golowich
and kaplan . but we are not closed to anther
solution you would strongly prefer .
best regards
helyette geman , phd , phd
d - g energy systems",ham
"mike ,
following up on my phone call , we ' re ready to do the following :
1 . assign a login and password to enron for a trial evaluation of the
www . weathereffects . com power trader web service .
2 . initiate a daily bilateral conference call at a morning time to be
determined . to ensure that your traders and analysts are ready for such a
call , we will await your response to this email before initiating the
service .
3 . we will also pdf certain energy analysis files to you ( eg , the daily gas
market file ) so you can see the evolution of our day to day thinking on the
markets .
a reminder that the power service currently deals with nepool and pjm and
will initiate coverage of nypp in september .
i look forward to hearing from you .
ed krapels
director , esai gas and power services",ham
"attached is a copy of the agenda for thursday ' s meeting . in preparation for
the meeting , please think about and be prepared to discuss what "" valuation ""
means to you in the systems you support or the job you do .
if you have any questions , feel free to contact me at 5 - 9353 .
thanks .
chris",ham
"beefsteak arboretum mountainous roughshod allegoric coachwork panacea
find your medication instantly !
a whole range of tablets ! take a look !
all medications in one place !
stop receiving promotional material now
sixgun inheritance pleistocene vassal
",spam
"save over 70 % on prog / rams like photoshop , office xp , and other !
order now and save your money !
",spam
"meter 98 - 6067 ( martinez , mb )
daren ,
do you want me to adjust anything ?
bob
- - - - - - - - - - - - - - - - - - - - - - forwarded by robert cotten / hou / ect on 06 / 14 / 2000 10 : 28
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
vance l taylor
06 / 14 / 2000 10 : 03 am
to : robert cotten / hou / ect @ ect
cc : carlos j rodriguez / hou / ect @ ect , donald p reinhardt / hou / ect @ ect , melissa
graves / hou / ect @ ect
subject : re : volume increase - hpl meter 68 - 6296 ( s . g . marshall ) and hpl
meter 98 - 6067 ( martinez , mb )
bob ,
the eog contract stipulates that a gas daily price should be paid only for
the initial delivery of gas at the execution of gas purchase contract ; any
deliveries subsequent to the initial turn - on should be priced at first of
month index .
thanks ,
vlt
x 3 - 6353
enron north america corp .
from : robert cotten 06 / 14 / 2000 09 : 39 am
to : vance l taylor / hou / ect @ ect
cc : carlos j rodriguez / hou / ect @ ect
subject : volume increase - hpl meter 68 - 6296 ( s . g . marshall ) and hpl meter
98 - 6067 ( martinez , mb )
vance ,
should this be priced at gas daily ? please advise . thanks .
bob
- - - - - - - - - - - - - - - - - - - - - - forwarded by robert cotten / hou / ect on 06 / 14 / 2000 09 : 38
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
suzanne _ saldivar @ eogresources . com on 06 / 13 / 2000 10 : 47 : 00 am
to : rcotten @ enron . com
cc : charlotte _ hawkins @ enron . com , crodrig @ enron . com
subject : volume increase - hpl meter 68 - 6296 ( s . g . marshall ) and hpl meter
98 - 6067 ( martinez , mb )
production from the sg marshall leases has increased due to workovers of
some of the wells . effective june 14 , 2000 , please increase the june 1
estimate from 2 , 300 mmbtu / d to 8 , 000 mmbtu / d @ hpl meter 68 - 6296 delivery
to hpl thompsonville ( pg 7 e meter 834134 ) .
production from the m . martinez leases has increased due to a new well
behind meter 98 - 6067 . the estimates from this meter has increased from
4 , 600 mmbtu / d to 8 , 200 mmbtu / d .
please call me at ( 713 ) 651 - 6858 with any questions . thanks ! ! !",ham
"submitting your website in search engines may increase
your online sales dramatically .
if you invested time and money into your website , you
simply must submit your website
oniine otherwise it wiii be invisible virtually , which means efforts spent in vain .
lf you want
peopie to know about your website and boost your revenues , the oniy way to do
that is to
make your site visible in places
where peopie search for information , i . e .
submit your
website in muitiple search enqines .
submit your website online
and watch visitors stream to your e - business .
best regards ,
melvinnorton _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ not interested . . . _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _",spam
"our online shop is your source for locating many prescription drugs without a prior prescription in compliance with fda regulations .
your choices : $ viagr @ % pntermin % v . a . lium _ : x : anax & sio | ma ? at ` | v @ n
plus : p @ x : il , b ' usp @ r , adipe : x , ion * amin , m 3 rid . ia , x ` 3 nica | , ambi ' 3 n , sona ' ta , fl 3 xe ' ril , c ` e | 3 brex , fi ' 0 ric 3 t , tram @ d : o | , u , l 3 vit ' ra , pr . 0 p 3 cia , acyc | 0 vi . r , pr : 0 z @ c
we ship to almost every country in the world .
enjoy deep discount meds here .
",spam
"folks :
i have tentatively set the date for our first round - table discussion for
wednesday ,
december 20 th at 3 : 00 pm - 4 : 30 pm . the room , eb 3268 , will be available from
3 : 00 to 5 : 00 pm . if any of you have an issue with the date , please let me
know by
day ' s end .
professor don kouri of the physics department of the university of houston
will start
with an informal 30 - 45 minute presentation ( see appended abstract below ) of
his work
and will then lead a discussion as well answer questions that we may have .
professor kouri , please let me know if you have any requirements for
audiovisual
or other equipment .
this excerpt from a previous correspondence provides an insight to the
subject of our meeting :
[ . . . ] topics to
be discussed at a small ` ` roundtable ' ' format meeting , are :
1 . hdafs for data analysis , including ` ` gap - filling ' ' , data
extrapolation , denoising , mathematical manipulations of digital
data ( e . g . , taking derivatives , applying functions of differential
operators to digital data , etc . )
2 . hdafs as the basis of numerical algorithms for solving nonlinear
partial differential equations , particularly for equations for which
existing methods encounter stability problems .
there are certainly other areas of interest and applications of the
hdafs but i think that even trying to do both of the above in a
single meeting would be difficult . of course , in this first meeting
we would focus on general aspects of the hdafs that make them robust
for such applications . if , however , you have other topics in which
you are interested , i am willing to focus on them .
[ . . . ] ""
yannis tzamouranis
yannis tzamouranis on 12 / 11 / 2000 03 : 56 : 49 pm
to : mark tawney / hou / ect @ ect , claudio ribeiro / corp / enron @ enron , joseph
hrgovcic / hou / ect @ ect , vince j kaminski / hou / ect @ ect , todd
kimberlain / na / enron @ enron , vasant shanbhogue / hou / ect @ ect
cc :
subject : hdaf seminar topics
folks :
i am trying to set up a meeting with professor don kouri of the university of
houston and i believe you may have an interest in the topic of discussion .
if you know of other interested parties , or want to substitute a proxy for
yourselves , please let me know .
this first meeting with dr . kouri will introduce the participants to his area
of research ( hdafs for data analysis ) and allow us to define the contents and
attendants of a seminar ( to come up soon ) .
we are looking to hold this discussion this week ( hopefully ) and to have the
seminar happen before christmas ( given that this is the in - between semester
season for schools ) .
a couple of other similar meetings will follow up : dr kevin bassler will be
talking about microscopic simulation of economic markets and dr . pinsky about
the effect of solar phenomena on the earth ' s atmosphere .
yannis
- - - - - forwarded by yannis tzamouranis / hou / ect on 12 / 11 / 2000 03 : 36 pm - - - - -
kouri @ kitten . chem . uh . edu
12 / 11 / 2000 02 : 32 pm
to : yannis . tzamouranis @ enron . com
cc :
subject : hdaf seminar topics
hi yannis ,
i got your email without any problem .
regarding timing of a meeting , i am free from teaching duties now
so i am flexible . i will be in houston all of december . i look
forward to hearing more from you . with best wishes ,
don kouri",ham
"jim ,
no changes in the schedule . the meeting will take place , as scheduled ,
on the 6 th of december at 9 : 00 a . m . we may have to cancel lunch with the
professors as they have other commitments . the meeting will last
about 2 hours .
vince",ham
"( see attached file : hplo 715 . xls )
- hplo 715 . xls",ham
"the things we sell are known over the world !
our goods for guys are in requisition !
",spam
"guaranteed satisfaction , cheapest prescrip ( tion dru ) gs on the net !",spam
"v
america ' s # 1 government grant program !
the federal government gives away billions of dollars in grants each every year ( free
money ! )
take advantage of this opportunity today and change your life
forever !
30 day money back guarantee !
can ' t wait on the mail ?
you can receive our fabulous grant guide book in one easy download ! start searching for grants in minutes ! simply order your grant guide book today by sending
$ 21 . 95 cash , check or money order with your e - mail address enclosed to :
government grants loans
p . o . box 101262
cape coral fl 33910
free cash grants are being funded by the
u . s . government and private foundations each and every day . these grants are funded from your tax dollars . the private foundations use the grants as a tax write - off ! this free money can be used for any purpose you can imagine . start a business , go to college , buy a house , medical bills , or even personal needs . learn how to apply for and receive pell grants scholarships . there is free money available for virtually any use including personal ! even learn how to apply for low interest and no interest government loans !
government grant facts : want to start a business ? or expand your existing business ? our government is giving away over 5 billion dollars in business grants and low - interest loans . more than 10 , 000 , 000 deserving people are getting free money to build their dreams ! what are you waiting for ? let uncle sam finance your business today .
attention college students : a huge amount of money is out there for you . incredibly enough the u . s . government does care about your education ! over 3 billion dollars for college grants , pell grants scholarships is given away . no credit checks or collateral required . start applying online now ! there are low interest and no interest government loans also available . there are also special grants for research technology .
good news for women minorities : two billon dollars of free money is available for you from starting a business to personal grants . take advantage of this opportunity ! this is your tax money , get your share today !
purchase your dream home or get money for home improvements :
government housing grants , low interest and no interest loans are available . learn about the fha ; who they are and how they can help you !
there are also reserved free government cash grants now available for the following special interest groups :
american indians
veterans
family members of veterans
low income families
community block grants
non profit organizations
first time home buyers
artists
musicians
nurses
teachers
researchers
the disabled
people suffering from hiv and aids
substance abuse
there are literally millions available ; all you have to do is ask !
attention :
none of these grants require a credit check , collateral , security deposits or co - signers . you can apply even if you have a bankruptcy or bad credit , it doesn ' t matter . it  s free money , never repay !
our grant guide program includes :
information on how to write your grant proposal .
complete listing of grants by category agency !
complete listing of college scholarships , grants !
information on amount of funding available !
complete information on low interest no interest loans !
phone numbers addresses of grant sources !
free shipping handling for a limited time !
30 day money back guarantee ! if you do not like our wonderful product for any reason and you would like your money back , simply return your order and you will be refunded .
order now by sending $ 21 . 95 cash , check , or money order to :
government grants loansp . o . box 101262 cape coral fl 33910
electronic delivery of grant guide : can ' t wait on snail mail ? copies of the grant guide book are also available via e - mail . when you send off for your fabulous book enclose your e - mail address and we will send the book to your e - mail account a . s . a . p . !
we have assembled a team of highly trained professionals which in turn has created the finest free cash grant program in america . we have dedicated ourselves to providing a quality program that provides not only hundreds of free cash sources but also instructs you in the most important step , and that is the
proposal .
to remove your email address from
our mailing list please
click here
v v
ahpvqeqkoacigulvlrcqr",spam
"start date : 1 / 28 / 02 ; hourahead hour : 20 ; no ancillary schedules awarded . no variances detected .
log messages :
parsing file - - > > o : \ portland \ westdesk \ california scheduling \ iso final schedules \ 2002012820 . txt",ham
"louise ,
the ibuyit approval level updates you are requesting for enron americas are nearing completion and will be ready to be migrated into production on friday . we have taken a shot at drafting a proposed communication for your consideration in advising your employees of the changes .
please advise if you would need any assistance in distributing the communications . additionally , can you please confirm your approval to migrate the changes into production on friday .
thanks
john
- - - - - original message - - - - -
from : roberts , angela
sent : wednesday , september 19 , 2001 1 : 36 pm
to : gillespie , john
subject : enron americas spend approval guidelines",ham
"as officers of the company , we would like to reiterate that we are all
responsible for conducting the business affairs of the company in accordance
with all applicable laws and in a moral and honest manner .
at this particular point in time , we would like to revisit our business
ethics policy :
 & employees of the company are charged with conducting their business affairs
in accordance with the highest ethical standards . an employee shall not
conduct himself or herself in a manner , which directly or indirectly would be
detrimental to the best interests of the company or in a manner , which would
bring to the employee financial gain separately derived as a direct
consequence of his or her employment with the company .  8
please realize  & conducting our business affairs in accordance with the
highest ethical standards  8 should be reflected in all communications . this
applies to communication via person to person , telephone , correspondence , fax
and e - mail . we particularly want to address the importance of absolute
integrity in your communications via e - mail and any attached documents or
graphics . if further clarification is needed , please contact your
advisor / director for any questions or concerns . we are available to discuss
these issues as well .
the code of ethics was revised in july of this year and every employee was
asked to sign a new certificate of compliance statement . this signed
statement serves as your personal agreement to comply with the policies set
forth during the term of your employment with the company . the code of
ethics booklet , and the certificate of compliance are avaliable to all
employees on the enron home page at http : / / home . enron . com / . you may access
them by clicking on code of ethics .
we are proud of enron and we want it to continue to enjoy a reputation for
fairness and honesty that is respected . let  , s keep that reputation high .",ham
"visit us for great deals on a wide range of software .
windows xp , photoshop , office xp , acrobat 7 from $ 19 . 95
http : / / fmlciwxl 7 sf 4 cyx . isothujonene . org /",spam
"save on prescription drugs now . . .
buy factory direct at a fraction of the cost .
eliminate the middle man - save up to 80 % !
weekly specials on cialis , viagra , meridia , ultram ,
soma , prozac , xanax , valium , ambien ,
zyban , propecia , celebrex , vioxx , lipitor , zolof
penis enlargement pills , no prescription required .
don ' t wait another second
visit our site and start saving
why
was this email sent to you ? at some point you registered or made a purchase
on a web site with privacy policies explaining that they may share your
information with partners who will send you valuable offers from time
to time .
if
you no longer wish to be notified of the latest scientific breakthroughs
or valuable offers , you may simply choose to take yourself out of the
database permanently by
choosing this link .
",spam
"cindy ,
this is our preliminary review of the documentation sent by mr . patteson .
one more person will take a look at it .
vince
- - - - - - - - - - - - - - - - - - - - - - forwarded by vince j kaminski / hou / ect on 10 / 25 / 2000
03 : 13 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
stinson gibner
10 / 25 / 2000 01 : 16 pm
to : vince j kaminski / hou / ect @ ect
cc : zimin lu / hou / ect @ ect , kevin kindall / corp / enron @ enron
subject : matthew patteson , inventor
vince ,
after reviewing the documents furnished by mr . patteson , i do not feel that
enron should consider engaging in any testing , development , or licensing of
his proposed generator for the following reasons :
1 . enron is not currently in the business of developing or manufacturing
electrical generation equipment and does not plan , as far as i know , to enter
this business . the one exception is our ownership in entities developing
wind and solar , renewable energy .
2 . enron does not have the proper facilities or expertise to test or develop
mr . pattesons proposed generator .
3 . there could be substantial risk in testing this generator as it would
involve boiling of a flammable material under pressure .
4 . i do not believe that the proposed generator will produce any significant
quantity of electrical power . the generator produces power by induction .
that is , electric current is induced by a changing magnetic field . the
mechanism powering the changing magnetic field is the movement of magnetic
dipoles which are suspended in a boiling medium . as the boiling will
produce a somewhat random movement of the liquid , the "" movement "" or change in
the magnetic field will be highly random and thus not suitable for producing
a steady or reliable electrical current .
i have asked martin lin to also review the documents to render an independent
opinion of this proposal .
respectfully ,
dr . stinson gibner
phd . physics
vp research , enron north america
p . s . kevin and zimin : if you have any interest in reviewing mr . patteson ' s
proposal , please let me know .",ham
"structure & technology report
may 10 th , 2005 - - for immediate release
investors and traders :
pinnacle group limited , inc . ( pgpu ) announces acquisition of aerofoam metals inc .
aerofoam metals inc is a | eading structural technology company focused on the development
& commerciaiization of foamed aluminum products and components for the worid market .
in today ' s market , aerofoam metals inc has cutting edge technoiogy and little competition .
symbo | : pgpu . pk
current price : o . 75
short term target price : $ 2 . 25
12 month target price : $ 5 . 25
pinnaclegli . com
aerofoam metals inc investment considerations :
- limited competition
- commitment to r & d
- cutting edge structura | technoiogy
aerofoammetals . com
press release - - may 10 th , 2005 - - pinnacle acquisition of aerofoam
the company foliowing extended re - negotiations with the major shareholder and management of aerofoam
metals incorporated ( "" aerofoam "" ) have reached an agreement in principle . the parties have entered into
a binding letter of intent , whereby , pinnacle wi | | acquire al | of the issued and outstanding shares of
aerofoam for new treasury shares of pinnacie . the number of shares to be issued to the shareholders of
aerofoam upon this acquisition will be 3 , 500 , oo 0 common shares . the major shareholder of aerofoam who
beneficially owns 56 % of all the issued and outstanding shares of aerofoam has agreed to vote his shares
in favor of this acquisition . the parties hereto further agree to enter into a binding shareholders agreement
immediately and to hoid a specia | shareholder meeting to ratify the acquisition within 6 o days of signing
this letter of intent .
pinnacle group ltd profiie :
pinnacie group is a u . s . based holding company , traded on the pinksheets . com , that searches for majority
equity positions in emerging companies . pinnacle group ltd offers skilled entrepreneurs , managers and ceos the option of
achieving their goais as part of a larger organization . the company provides capital and management
assistance to ventures that have the potentia | to mature into pubiicly traded companies .
the company works cioseiy with the management of companies that it acquires , using tried and proven methods
to expand the business , who are also open to innovative ideas on how to achieve targeted goais .
the company has great short term speculative potentia | as
well as the potentia | for | ong term growth .
we beiieve the speculative near term target price is - $ 2 . 25
we beiieve the speculative long term target price is - $ 5 . 25
this is why pgpu might be the next hot pick !
piease foilow this one trade tuesday !
nothing in this e - mail should be considered personaiized investment
advice . although our empioyees may answer your genera | customer
service questions , they are not | icensed under securities laws to
address your particular investment situation . no communication by our
employees to you should be deemed as personalized investment advice .
we expressiy forbid our writers from having a financia | interest in
any security recommended to our readers . a | | of our empioyees and
agents must wait 24 hours after on - line publication or 72 hours after
the maiiing of printed - only pubiication prior to fo | | owing an initia |
recommendation . any investments recommended in this | etter should be
made only after consuiting with your investment advisor and oniy after
reviewing the prospectus or financial statements of the company .
to cance | by mai | or for any other subscription issues , repiy piease to : no _ morenewsletters 2 @ yahoo . com
( c ) 2 oo 5 investment newsletter al | rights reserved",spam
"thanks for the heads up . just curious - do we have any estimation of when the charge will hit our book ?
kate
- - - - - original message - - - - -
from : thompson , virginia
sent : friday , june 29 , 2001 9 : 22 am
to : symes , kate
subject : spp losses annuity
kate -
fyi - i have entered deal # 669230 . 1 for ancillary charges for april reserved and used transmission . detail is listed in the deal itself . i have also put a copy of the deal in your box . please let me know if you have any questions . reservations for spp tranny were made real time .
virginia",ham
"- - - - - original message - - - - -
from : stein , neil [ mailto : neil . stein @ csfb . com ]
sent : monday , november 05 , 2001 7 : 24 am
to : undisclosed - recipients
subject : csfb independent power weekly ; notes from eei included
>
good morning ,
attached , please find the latest issue of our independent power weekly .
summary :
1 . ipps fall 3 . 7 % last week our ipp composite declined 3 . 7 % ,
underperforming both the s 2 . development activity slowing / value driven
m and , 3 . enron exposure .
4 . prevailing mood at eei : uncertainty versus last year ' s conference , the
prevailing mood at eei was one of uncertainty . given developments in the
equity market , commodity market and regulatory arenas , some investor concern
is not surprising . however , we remain positive on the prospects of the
owners and developers of power generation assets for 2 reasons : 1 . long - term
industry fundamentals remain intact ; and , 2 . current concerns are
discounted / ipps trading at 20 % below private market value .
5 . selectivity is important ; focus on the major ipps : highlighting cpn , mir
and nrg we continue to highlight calpine ( cpn , strong buy ) , mirant ( mir ,
buy ) and nrg energy ( nrg , buy ) . owing to their combination of geographic
diversification , large scale operations and substantial hedging , our
analysis indicates that these companies are best positioned to deliver
sustainable earnings and growth in the face of volatile power market
conditions . we believe the current environment should serve as a catalyst
to differentiate these companies from their peers .
6 . debt market update last week enron remained the focus of debt investor
attention , fueling a high level of trading activity for the ipps . credit
spreads continue to be negatively influenced by concerns regarding exposure
to enron .
regards ,
neil stein 212 / 325 - 4217
this message is for the named person ' s use only . it may contain
confidential , proprietary or legally privileged information . no
confidentiality or privilege is waived or lost by any mistransmission .
if you receive this message in error , please immediately delete it and all
copies of it from your system , destroy any hard copies of it and notify the
sender . you must not , directly or indirectly , use , disclose , distribute ,
print , or copy any part of this message if you are not the intended
recipient . credit suisse group and each of its subsidiaries each reserve
the right to monitor all e - mail communications through its networks . any
views expressed in this message are those of the individual sender , except
where the message states otherwise and the sender is authorised to state
them to be the views of any such entity .
unless otherwise stated , any pricing information given in this message is
indicative only , is subject to change and does not constitute an offer to
deal at any price quoted .
any reference to the terms of executed transactions should be treated as
preliminary only and subject to our formal written confirmation .",ham
"dauphine
synonym yet dainty ?
tack and poe abutted detest
brickbat . goodrich !
militarist if oblate .
",spam
"worldwinnings headquarters :
customer service
580 n . tenth street , ca 85914
arena complex km 18 route de rufisque
i . p . p award dept .
johannesburg , south africa .
ref : wsl / 9430 y 3 / 05
batch : 12 / 25 / dcl 7
winning notification :
we happily announce to you the draw of the worldwinnings sweepstake lottery international programs held on the 31 st of august , 2004 in johannesburg , south africa .
your e - mail address attached to ticket number : 5647566545288 with serial number 5233 / 09 drew the lucky numbers : 19 - 6 - 26 - 17 - 35 - 7 , which subsequently won you the lottery in the 2 nd category . you have therefore been approved to claim a total sum of u . s $ 2 , 500 , 000 . 00 ( two million , five hundred thousand united states dollars ) in cash credited to file ktu / 9023118308 / 03 . this is from a total cash prize of u . s $ 2 . 5 million dollars , shared amongst the first ten ( 10 ) lucky winners in this category .
all participants were selected randomly from world wide web site through computer draw system and extracted from over 100 , 000 companies . this promotion takes place annually . note that your lucky winning number falls within our european booklet representative office in europe as indicated in your play coupon . in view of this , your u . s $ 2 , 500 , 000 . 00 ( two million , five hundred thousand united states dollars ) would be released to you by our payment office in europe .
our european agent will immediately commence the process to facilitate the release of your funds as soon as you contact him . for security reasons , you are advised to keep your winning information confidential till your claims is processed and your money remitted to you in whatever manner you deem fit to claim your prize . this is part of our precautionary measure to avoid double claiming and unwarranted abuse of this program by some unscrupulous elements . please be warned .
to file for your claim , please contact our fiduciary agent :
mr . smith moore
email : mooresmith _ 2004 @ fastermail . com .
to avoid unnecessary delays and complications , please quote your reference / batch numbers in any correspondences with us or our designated agent .
congratulations once more from all members and staffs of this program . thank you for being part of our promotional lottery program .
sincerely ,
sir henry looke .
worldwinnings lottery co - ordinator
mail sent from webmail service at go - hunting . co . nz
- http : / / go - hunting . co . nz",spam
"our art team creates a custom logo for you , based on your needs . years of experience have taught us how to create a logo that makes a statement that is unique to you .
in a profes sional manner we learn about your image and how you would like the world to perceive you and your company . with this information we then create a logo that is not only unique but reflects the purpose of you and your company .
for value and a logo that reflects your image , take a few minutes and visit try logos !
http : / / wwwl . trylogos - studio . com /
sincerely ,
logo design team
http : / / wwwl . trylogos - studio . com / uns . php",spam
"there were over $ 14 billion in ebay sales last year achieved mostly by people just like you !
lots of stuff sells on ebay but you have to know how to do it ! our
ebay marketing ecourse is a straight forward low learning curve
ecourse . it is a self executing windows program ( . exe ) written and compiled
by our staff .
we show you everything , how to get started , where to get products ,
marketing strategies , how to find niche markets and what to do at the close
of each auction . you
can be running your own ebay business , and be earning money fast !
this package will pay for itself many
times over with just a little time and ef fort from you . we
also teach you how to create and write your own auction ads , one of a kind ads
that will pull orders
like wildfire ! ! go
here to find out morewant
to be dropped from our list ? do not reply to this email . copy and paste this
link into your browser - bisops . com / rmm . htm computer technologies 848
n . rainbow blvd . # 316 las vegas , nv 89107
",spam
"ich bin bis 31 . juli nicht im b?ro erreichbar und werde mich dann sofort um ihre nachricht k?mmern .
in dringenden f?llen wenden sie sich bitte an frau gelbhardt , 02131 - 109519 , u . gelbhardt @ ceg - plus . com .
mit freundlichen gr??en aus neuss
siebo woydt
ceg",spam
"the lowest price of all med ' s is here .
* xa - nax ( $ 154 only )
* via - gra ( $ 57 only )
* vaiium ( $ 154 only )
* cia - | is ( $ 135 only )
* tramadol ( $ 99 only )
we are the be - st available nowadays
ree movee below :
http : / / www . takemeout . negotiator 6 seq . us
j 5 eilw 5 kryf 8 u 3 haz 2 hqothwu 0 johr 6 o 5 zykfe
",spam
"vince and john ,
i wanted to send you a quick note and once again say thank you for attending
the cal berkeley presentation last week . i am sorry for the low attendance
on campus , however i did want to send some refreshing news . i just received
the resumes of students who would like to interview with enron . there were
43 resumes submitted for the technologist position and 46 resumes submitted
for the analyst position .
please let me know if you have any questions .
thanks ,
ashley",ham
"sextet quiz contralateral commodore wasteland
get any prescription drug you want !
simple , quick and affordable !
we deliver quality medications to your door !
stop getting brochures here
livery shortcoming behave calligraphy desegregate robin compatible
",spam
"mr . ronard tony
wema bank plc .
lagos / nigeria
email : ronardtony @ mail . com
dear sir ,
request for co - operation on a private business
relationship
every four years , nigeria banks transfer to it s
treasury millions of dollars of unclaimed deceased
depositors funds , in compliance with the banking laws
and guidelines . in the majority of cases , with
reference to my bank wema bank plc . the money
normally runs into several millions of dollars . until
dr . david fang death along with his wife , doris , their
two children , micheal and ann in a private jet plane
crash . i was his foreign currency denoted bank account
manager with constant balance in excess of eight
digits . ever since his death and up till this time of
writing , no next of kin or relation of his has come
forward to claim his money with us .
naturally , as long as late dr . david fang money remains
unclaimed , the bank remains richer in free funds with
his money . however , with my being in direct charge of
bills and exchange in the foreign remittance
department of my bank , i am in position to cause the
payment of this money to whosoever that present
himself as the next of kin or relation of the late
dr . david fang ' on private business deal basis .
now the game plan and the purpose of writing to you
exclusively having been highly recommended as the
right and proper person to handle this deal by a
management consultant friend of mine , who has traveled
widely , including your country is that i want to pull
out this unclaimed money amounting to $ 14 , 900 , 000 : 00
( fourteen million , nine hundred united states dollars )
with your co - operation and assistance by just doing
the following :
-
( a ) act as next of kin or relation of late dr . david
fang
( b ) provide your bank account and location where you
want the money remitted .
( c ) provide your direct and private telephone / fax
numbers for effective communication
( d ) give immediate reply to this proposal using the
above tel / fax
number for details on how to proceed .
for your co - operation and efforts , 40 % of the money
will be for you as my foreign partner , 10 % for
settlement of all expenses that might be incurred on
the course of this transaction , while 50 % will be for
myself that will eventually visit your country for
disbursement of the fund .
looking forward to a mutual and beneficial business
relationship .
regards ,
ronard tony .",spam
"- 01
( see attached file : hplno 224 . xls ) ( see attached file :
hplno 223 . xls )
- hplno 224 . xls
- hplno 223 . xls",ham
"hi becky ,
vince and i came up with these allocations for all of egm :
gary hickerson
rate & currency trading 10 . 0 %
agriculture trading
& origination 27 . 5 %
jeff shankman
weather 20 %
insurance 30 %
oil 7 . 5 %
coal 2 . 5 %
freight 2 . 5 %
total 100 %",ham
"online credit breakthroughrepair your credit online ! 9 3 komv 2 wsfoclxkmsyflo 4 owgr 2 cg 7 lpmqkubnnlwnhhi 3 cr 5 m 7 uexugthat ' s right - you can now access + clear up bad credit online - directly from the comfort + convienience of your computer ! watch your credit daily , with real time updates get the information you need quickly and efficently to remove negative credit items from your report ! click here for more informationthank you - the web credit ( tm ) team ! 9 3 komv 2 wsfoclxkmsyflo 4 owgr 2 cg 7 lpmqkubnnlwnhhi 3 cr 5 m 7 uexug",spam
